"授業の進捗が遅く、予定していた範囲まで終わりませんでした。。 (コメントID: 1, 8553)"
"ネットワーク環境が安定しており、快適に受講できました。。 (コメントID: 2, 3825)"
"質問への回答が的確で、疑問が解消されました。ありがとうございます。。 (コメントID: 3, 9842)"
"Webカメラの映像が固まり、講師の動きが途切れていました。。 (コメントID: 4, 7543)"
"Wi-Fi接続が不安定で、授業中に何度も切断されました。根本的な対策を望みます。。 (コメントID: 5, 9222)"
"資料がカラーで分かりやすいです。印刷もしやすいレイアウトで助かります。。 (コメントID: 6, 7643)"
"運営チームのサポートが迅速で、問題解決が早かったです。でした。 (コメントID: 7, 6564)"
"とても役立つ情報で、明日からすぐに実践できそうです。。 (コメントID: 8, 8205)"
"受講者からの質問にも丁寧に答えてくださり、理解が深まりました。と感じました。 (コメントID: 9, 2341)"
"運営チームのサポートが迅速で、問題解決が早かったです。です。 (コメントID: 10, 5362)"
"今回の内容を復習するために、追加の参考資料があれば教えてください。でした。 (コメントID: 11, 8224)"
"配布資料の内容が理解しづらいです。もっと噛み砕いた説明をお願いします。。 (コメントID: 12, 1979)"
"授業録画の公開はいつ頃になりますでしょうか？復習に利用したいです。と感じました。 (コメントID: 13, 8173)"
"ヘッドホンから異音がします。確認をお願いします。。 (コメントID: 14, 6575)"
"授業の開始時間が遅れることがあり、スケジュールに影響が出ました。でした。 (コメントID: 15, 2910)"
"講義の途中で急に通信が切断されました。すぐに再接続できましたが、驚きました。と感じました。 (コメントID: 16, 6103)"
"ネットワーク環境が安定しており、快適に受講できました。でした。 (コメントID: 17, 4628)"
"講師の熱意が伝わってきて、非常に感銘を受けました。と思います。 (コメントID: 18, 7232)"
"運営側のレスポンスが遅く、質問の解決に時間がかかりました。もう少し迅速な対応を希望します。。 (コメントID: 19, 6412)"
"音声が途切れ途切れで、重要な部分が聞き取れませんでした。と思います。 (コメントID: 20, 1345)"
"資料がPDFでダウンロードできるのは便利ですが、検索可能な形式だとより助かります。と思います。 (コメントID: 21, 9187)"
"質問です。この問題の背景について、もう少し詳しく説明していただけますか？と感じました。 (コメントID: 22, 2606)"
"質問への回答が的確で、疑問が解消されました。ありがとうございます。ですね。 (コメントID: 23, 6611)"
"事務手続きが煩雑で、サポートに連絡してもなかなか繋がらない。です。 (コメントID: 24, 8984)"
"今回の内容を復習するために、追加の参考資料があれば教えてください。でした。 (コメントID: 25, 6322)"
"もう少しインタラクティブな要素があれば、飽きずに受講できたと思います。。 (コメントID: 26, 8156)"
"通信環境が悪く、映像がカクついていました。回線速度の問題でしょうか？。 (コメントID: 27, 1239)"
"講義の途中で急に通信が切断されました。すぐに再接続できましたが、驚きました。。 (コメントID: 28, 9598)"
"もう少しインタラクティブな要素があれば、飽きずに受講できたと思います。。 (コメントID: 29, 8779)"
"講義内容の構成が論理的で、非常に理解しやすかったです。ですね。 (コメントID: 30, 2024)"
"質問です。授業の録画はどこで視聴できますか？。 (コメントID: 31, 3346)"
"Webカメラの解像度が低く、板書が見づらかったです。改善希望。と感じました。 (コメントID: 32, 9647)"
"資料の構成が非常に論理的で、理解しやすかったです。。 (コメントID: 33, 7229)"
"通信エラーが頻発し、まともに授業が受けられませんでした。返金してほしい。です。 (コメントID: 34, 9915)"
